location,floor,first_recommendation_id,first_recommendation_count,second_recommendation_id,second_recommendation_count
320 Sansom Place East,,45,,,
2308 Harnwell,23,16,,17,
2308 Harnwell,,52,,,
222 Kings Court,,52,,,
222 Kings Court,,52,,,
411 Hill,,29,,,
309 Mayer Hall,,31,,,
430 Hill,,29,,,
1208 Harnwell,12,11,,,
1208 Harnwell,,52,,,
2112 Harnwell,21,15,,16,
2112 Harnwell,,52,,,
2112 Harnwell,21,15,,16,
2112 Harnwell,,52,,,
308 English House,,52,,,
703 Harnwell,7,8,,9,
703 Harnwell,,52,,,
703 Harnwell,7,8,,9,
703 Harnwell,,52,,,
2115 Rodin,21,42,,43,
2115 Rodin,,52,,,
2115 Rodin,21,42,,43,
2115 Rodin,,52,,,
302 Lauder College House,,48,,,
2108 Harnwell,21,15,,16,
2108 Harnwell,,52,,,
1914 Harrison,19,25,,26,
1914 Harrison,,52,,,
1914 Harrison,19,25,,26,
1914 Harrison,,52,,,
1914 Harrison,19,25,,26,
1914 Harrison,,52,,,
415 English House,,52,,,
602 Lauder College House,,48,,,
604 Harrison,6,19,,,
604 Harrison,,52,,,
349 Kings Court,,52,,,
349 Kings Court,,52,,,
109 Kings Court,,52,,,
340 Hill,,29,,,
1709 Harrison,17,24,,25,
1709 Harrison,,52,,,
1709 Harrison,17,24,,25,
1709 Harrison,,52,,,
414 Van Pelt,,50,,,
414 Van Pelt,,50,,,
108 Harrison,1,20,,,
108 Harrison,,52,,,
,,52,,,
104 Brooks,,52,,,
1608 Rodin,16,40,,,
1608 Rodin,,52,,,
1812 Sansom Place East,,45,,,
2106 Rodin,21,42,,43,
2106 Rodin,,52,,,
2106 Rodin,21,42,,43,
2106 Rodin,,52,,,
1109 Rodin,11,37,,38,
1109 Rodin,,52,,,
1109 Rodin,11,37,,38,
1109 Rodin,,52,,,
1109 Rodin,11,37,,38,
1109 Rodin,,52,,,
1214 Harrison,12,22,,,
1214 Harrison,,52,,,
1214 Harrison,12,22,,,
1214 Harrison,,52,,,
103 Kings Court,,52,,,
1003 Harnwell,10,10,,,
1003 Harnwell,,52,,,
449 Kings Court,,52,,,
449 Kings Court,,52,,,
265F Stouffer,,52,,,
228 Hill,,29,,,
1506 Rodin,15,39,,40,
1506 Rodin,,52,,,
1506 Rodin,15,39,,40,
1506 Rodin,,52,,,
1506 Rodin,15,39,,40,
1506 Rodin,,52,,,
1011 Harnwell,10,10,,,
1011 Harnwell,,52,,,
617 Lauder College House,,48,,,
406 Class of 25,,52,,,
406 Class of 25,,52,,,
406 Class of 25,,52,,,
510 Lauder College House,,48,,,
713 Harrison,7,19,,20,
713 Harrison,,52,,,
713 Harrison,7,19,,20,
713 Harrison,,52,,,
2401 Harnwell,24,17,,,
2401 Harnwell,,52,,,
2401 Harnwell,24,17,,,
2401 Harnwell,,52,,,
1009 Harrison,10,21,,,
1009 Harrison,,52,,,
302 Harrison,3,49,,18,
302 Harrison,,52,,,
302 Harrison,3,49,,18,
302 Harrison,,52,,,
302 Harrison,3,49,,18,
302 Harrison,,52,,,
706 Rodin,7,35,,36,
706 Rodin,,52,,,
706 Rodin,7,35,,36,
706 Rodin,,52,,,
706 Rodin,7,35,,36,
706 Rodin,,52,,,
103A Stouffer,,52,,,
401 Hill,,29,,,
1413 Harnwell,14,12,,,
1413 Harnwell,,52,,,
544 Hill,,29,,,
544 Hill,,29,,,
545 Hill,,29,,,
545 Hill,,29,,,
708 Harnwell,7,8,,9,
708 Harnwell,,52,,,
708 Harnwell,7,8,,9,
708 Harnwell,,52,,,
203 Van Pelt,,50,,,
203 Van Pelt,,50,,,
,,52,,,
1411 Harnwell,14,12,,,
1411 Harnwell,,52,,,
1411 Harnwell,14,12,,,
1411 Harnwell,,52,,,
1411 Harnwell,14,12,,,
1411 Harnwell,,52,,,
509 Lauder College House,,48,,,
417 English House,,52,,,
417 English House,,52,,,
503 Harnwell,5,7,,8,
503 Harnwell,,52,,,
503 Harnwell,5,7,,8,
503 Harnwell,,52,,,
503 Harnwell,5,7,,8,
503 Harnwell,,52,,,
454 Hill,,29,,,
1004 Harrison,10,21,,,
1004 Harrison,,52,,,
1004 Harrison,10,21,,,
1004 Harrison,,52,,,
1004 Harrison,10,21,,,
1004 Harrison,,52,,,
613 Lauder College House,,48,,,
,,52,,,
409 Harnwell,4,7,,,
409 Harnwell,,52,,,
1712 Harnwell,17,13,,14,
1712 Harnwell,,52,,,
1712 Harnwell,17,13,,14,
1712 Harnwell,,52,,,
1712 Harnwell,17,13,,14,
1712 Harnwell,,52,,,
613 Harnwell,6,8,,,
613 Harnwell,,52,,,
2316 Harnwell,23,16,,17,
2316 Harnwell,,52,,,
2316 Harnwell,23,16,,17,
2316 Harnwell,,52,,,
2316 Harnwell,23,16,,17,
2316 Harnwell,,52,,,
2316 Harnwell,23,16,,17,
2316 Harnwell,,52,,,
142 Kings Court,,52,,,
432 Hill,,29,,,
1302 Rodin,13,38,,39,
1302 Rodin,,52,,,
1302 Rodin,13,38,,39,
1302 Rodin,,52,,,
1408 Rodin,14,39,,,
1408 Rodin,,52,,,
1609 Harrison,16,24,,,
1609 Harrison,,52,,,
1211 Harnwell,12,11,,,
1211 Harnwell,,52,,,
1312 Rodin,13,38,,39,
1312 Rodin,,52,,,
1312 Rodin,13,38,,39,
1312 Rodin,,52,,,
1312 Rodin,13,38,,39,
1312 Rodin,,52,,,
2407 Rodin,24,44,,,
2407 Rodin,,52,,,
2407 Rodin,24,44,,,
2407 Rodin,,52,,,
160E Stouffer,,52,,,
1001 Harnwell,10,10,,,
1001 Harnwell,,52,,,
1001 Harnwell,10,10,,,
1001 Harnwell,,52,,,
1001 Harnwell,10,10,,,
1001 Harnwell,,52,,,
813 Sansom Place East,,45,,,
,,52,,,
417 Hill,,29,,,
,,52,,,
,,52,,,
,,52,,,
404 English House,,52,,,
1711 Harnwell,17,13,,14,
1711 Harnwell,,52,,,
1711 Harnwell,17,13,,14,
1711 Harnwell,,52,,,
418 Du Bois,,52,,,
246 Hill,,29,,,
1303 Rodin,13,38,,39,
1303 Rodin,,52,,,
1303 Rodin,13,38,,39,
1303 Rodin,,52,,,
1303 Rodin,13,38,,39,
1303 Rodin,,52,,,
478 Hill,,29,,,
1212 Harnwell,12,11,,,
1212 Harnwell,,52,,,
403 Class of 25,,52,,,
403 Class of 25,,52,,,
343 Kings Court,,52,,,
343 Kings Court,,52,,,
343 Kings Court,,52,,,
202 Kings Court,,52,,,
202 Kings Court,,52,,,
145 Hill,,29,,,
355 Hill,,29,,,
2014 Harrison,20,26,,,
2014 Harrison,,52,,,
2416 Harrison,24,28,,,
2416 Harrison,,52,,,
,,52,,,
,,52,,,
1709 Rodin,17,40,,41,
1709 Rodin,,52,,,
1709 Rodin,17,40,,41,
1709 Rodin,,52,,,
220 Du Bois,,52,,,
1108 Rodin,11,37,,38,
1108 Rodin,,52,,,
1108 Rodin,11,37,,38,
1108 Rodin,,52,,,
1108 Rodin,11,37,,38,
1108 Rodin,,52,,,
,,52,,,
412 Hill,,29,,,
425 Lauder College House,,48,,,
425 Lauder College House,,48,,,
124B Stouffer,,52,,,
402 English House,,52,,,
914 Harnwell,9,9,,10,
914 Harnwell,,52,,,
914 Harnwell,9,9,,10,
914 Harnwell,,52,,,
327 Kings Court,,52,,,
1912 Rodin,19,41,,42,
1912 Rodin,,52,,,
1912 Rodin,19,41,,42,
1912 Rodin,,52,,,
564 Hill,,29,,,
,,52,,,
,,52,,,
,,52,,,
425 Hill,,29,,,
425 Hill,,29,,,
425 Hill,,29,,,
302 Hill,,29,,,
813 Harrison,8,20,,,
813 Harrison,,52,,,
107 Harnwell,1,9,,,
107 Harnwell,,52,,,
107 Harnwell,1,9,,,
107 Harnwell,,52,,,
300 Delta Kappa Epsilon,,52,,,
1503 Rodin,15,39,,40,
1503 Rodin,,52,,,
1503 Rodin,15,39,,40,
1503 Rodin,,52,,,
110 Class of 25,,52,,,
502 Mayer Hall,,31,,,
404 Hill,,29,,,
309 Kings Court,,52,,,
309 Kings Court,,52,,,
540 Hill,,29,,,
208 Van Pelt,,50,,,
236 Hill,,29,,,
428 Kings Court,,52,,,
409 Harrison,4,18,,,
409 Harrison,,52,,,
530 Hill,,29,,,
477 Hill,,29,,,
315 Lauder College House,,48,,,
912 Sansom Place East,,45,,,
1504 Rodin,15,39,,40,
1504 Rodin,,52,,,
1504 Rodin,15,39,,40,
1504 Rodin,,52,,,
2411 Harrison,24,28,,,
2411 Harrison,,52,,,
2411 Harrison,24,28,,,
2411 Harrison,,52,,,
2411 Harrison,24,28,,,
2411 Harrison,,52,,,
408 Class of 25,,52,,,
202 Van Pelt,,50,,,
2009 Harnwell,20,15,,,
2009 Harnwell,,52,,,
403 Van Pelt,,50,,,
1212 Rodin,12,38,,,
1212 Rodin,,52,,,
1707 Harnwell,17,13,,14,
1707 Harnwell,,52,,,
1707 Harnwell,17,13,,14,
1707 Harnwell,,52,,,
419 Du Bois,,52,,,
419 Du Bois,,52,,,
503 English House,,52,,,
503 English House,,52,,,
523 Lauder College House,,48,,,
409 Lauder College House,,48,,,
2014 Harrison,20,26,,,
2014 Harrison,,52,,,
2014 Harrison,20,26,,,
2014 Harrison,,52,,,
2014 Harrison,20,26,,,
2014 Harrison,,52,,,
302 Mayer Hall,,31,,,
139 Hill,,29,,,
139 Hill,,29,,,
1715 Harrison,17,24,,25,
1715 Harrison,,52,,,
1715 Harrison,17,24,,25,
1715 Harrison,,52,,,
1715 Harrison,17,24,,25,
1715 Harrison,,52,,,
250 Kings Court,,52,,,
250 Kings Court,,52,,,
210 Du Bois,,52,,,
559 Hill,,29,,,
308 Class of 25,,52,,,
,,52,,,
113 Harnwell,1,9,,,
113 Harnwell,,52,,,
309 Kings Court,,52,,,
,,52,,,
611 Rodin,6,35,,,
611 Rodin,,52,,,
611 Rodin,6,35,,,
611 Rodin,,52,,,
611 Rodin,6,35,,,
611 Rodin,,52,,,
,,52,,,
,,52,,,
,,52,,,
327 Hill,,29,,,
,,52,,,
606 Lauder College House,,48,,,
1225 Sansom Place East,,45,,,
225C Stouffer,,52,,,
212 Harnwell,2,6,,,
212 Harnwell,,52,,,
212 Harnwell,2,6,,,
212 Harnwell,,52,,,
212 Harnwell,2,6,,,
212 Harnwell,,52,,,
156E Stouffer,,52,,,
146 Kings Court,,52,,,
146 Kings Court,,52,,,
549 Hill,,29,,,
524 Hill,,29,,,
306 Hill,,29,,,
330 Kings Court,,52,,,
330 Kings Court,,52,,,
212 Rodin,2,33,,,
212 Rodin,,52,,,
314 Van Pelt,,50,,,
611 Harrison,6,19,,,
611 Harrison,,52,,,
205 Hill,,29,,,
612 Rodin,6,35,,,
612 Rodin,,52,,,
410 Van Pelt,,50,,,
1114 Harnwell,11,10,,11,
1114 Harnwell,,52,,,
1114 Harnwell,11,10,,11,
1114 Harnwell,,52,,,
213 Van Pelt,,50,,,
166 Hill,,29,,,
202 Lauder College House,,48,,,
202 Lauder College House,,48,,,
305 Phi Delta Theta,,52,,,
413 Mayer Hall,,31,,,
103 Birthday,,52,,,
440 Kings Court,,52,,,
1716 Harrison,17,24,,25,
1716 Harrison,,52,,,
1716 Harrison,17,24,,25,
1716 Harrison,,52,,,
709 Rodin,7,35,,36,
709 Rodin,,52,,,
709 Rodin,7,35,,36,
709 Rodin,,52,,,
709 Rodin,7,35,,36,
709 Rodin,,52,,,
331 Hill,,29,,,
1107 Rodin,11,37,,38,
1107 Rodin,,52,,,
1107 Rodin,11,37,,38,
1107 Rodin,,52,,,
1107 Rodin,11,37,,38,
1107 Rodin,,52,,,
250 Hill,,29,,,
,,52,,,
1304 Harrison,13,22,,23,
1304 Harrison,,52,,,
1304 Harrison,13,22,,23,
1304 Harrison,,52,,,
2209 Harrison,22,27,,,
2209 Harrison,,52,,,
403 Du Bois,,52,,,
403 Du Bois,,52,,,
,,52,,,
102 Class of 25,,52,,,
102 Class of 25,,52,,,
102 Class of 25,,52,,,
2006 Rodin,20,42,,,
2006 Rodin,,52,,,
510 Lauder College House,,48,,,
555 Hill,,29,,,
209 Lauder College House,,48,,,
200 English House,,52,,,
208 Hill,,29,,,
1503 Harnwell,15,12,,13,
1503 Harnwell,,52,,,
1503 Harnwell,15,12,,13,
1503 Harnwell,,52,,,
502 Harnwell,5,7,,8,
502 Harnwell,,52,,,
502 Harnwell,5,7,,8,
502 Harnwell,,52,,,
502 Harnwell,5,7,,8,
502 Harnwell,,52,,,
1807 Harnwell,18,14,,,
1807 Harnwell,,52,,,
1412 Rodin,14,39,,,
1412 Rodin,,52,,,
1412 Rodin,14,39,,,
1412 Rodin,,52,,,
408 Rodin,4,34,,,
408 Rodin,,52,,,
408 Rodin,4,34,,,
408 Rodin,,52,,,
408 Rodin,4,34,,,
408 Rodin,,52,,,
437 Hill,,29,,,
514 English House,,52,,,
916 Harrison,9,20,,21,
916 Harrison,,52,,,
916 Harrison,9,20,,21,
916 Harrison,,52,,,
916 Harrison,9,20,,21,
916 Harrison,,52,,,
,,52,,,
509 English House,,52,,,
558 Hill,,29,,,
2101 Sansom Place East,,45,,,
2101 Sansom Place East,,45,,,
114B Stouffer,,52,,,
403 Kings Court,,52,,,
403 Kings Court,,52,,,
421 Du Bois,,52,,,
421 Du Bois,,52,,,
341 Kings Court,,52,,,
341 Kings Court,,52,,,
706 Lauder College House,,48,,,
523 Hill,,29,,,
302 Kings Court,,52,,,
19 Beta Theta Pi,,52,,,
,,52,,,
,,52,,,
2211 Harrison,22,27,,,
2211 Harrison,,52,,,
2211 Harrison,22,27,,,
2211 Harrison,,52,,,
311 Hill,,29,,,
209 Phi Delta Theta,,52,,,
346 Kings Court,,52,,,
346 Kings Court,,52,,,
608 Rodin,6,35,,,
608 Rodin,,52,,,
317 English House,,52,,,
317 English House,,52,,,
139 Hill,,29,,,
,,52,,,
1303 Rodin,13,38,,39,
1303 Rodin,,52,,,
1303 Rodin,13,38,,39,
1303 Rodin,,52,,,
1303 Rodin,13,38,,39,
1303 Rodin,,52,,,
703 Sansom Place East,,45,,,
2016 Harrison,20,26,,,
2016 Harrison,,52,,,
2016 Harrison,20,26,,,
2016 Harrison,,52,,,
2016 Harrison,20,26,,,
2016 Harrison,,52,,,
374 Hill,,29,,,
,,52,,,
256E Stouffer,,52,,,
503 English House,,52,,,
,,52,,,
27 Sigma Phi Epsilon,,52,,,
279 Hill,,29,,,
1610 Harrison,16,24,,,
1610 Harrison,,52,,,
245D Stouffer,,52,,,
607 Rodin,6,35,,,
607 Rodin,,52,,,
607 Rodin,6,35,,,
607 Rodin,,52,,,
1803 Harnwell,18,14,,,
1803 Harnwell,,52,,,
405 Hill,,29,,,
168F Stouffer,,52,,,
303 Kings Court,,52,,,
303 Kings Court,,52,,,
404 Lauder College House,,48,,,
1108 Harnwell,11,10,,11,
1108 Harnwell,,52,,,
1108 Harnwell,11,10,,11,
1108 Harnwell,,52,,,
1108 Harnwell,11,10,,11,
1108 Harnwell,,52,,,
151 Hill,,29,,,
,,52,,,
501 Harrison,5,18,,19,
501 Harrison,,52,,,
501 Harrison,5,18,,19,
501 Harrison,,52,,,
501 Harrison,5,18,,19,
501 Harrison,,52,,,
311 Mayer Hall,,31,,,
,,52,,,
1612 Rodin,16,40,,,
1612 Rodin,,52,,,
1612 Rodin,16,40,,,
1612 Rodin,,52,,,
1612 Rodin,16,40,,,
1612 Rodin,,52,,,
302 Harnwell,3,6,,7,
302 Harnwell,,52,,,
302 Harnwell,3,6,,7,
302 Harnwell,,52,,,
557 Hill,,29,,,
302 Lauder College House,,48,,,
501 English House,,52,,,
501 English House,,52,,,
1112 Harnwell,11,10,,11,
1112 Harnwell,,52,,,
1112 Harnwell,11,10,,11,
1112 Harnwell,,52,,,
1112 Harnwell,11,10,,11,
1112 Harnwell,,52,,,
1215 Harrison,12,22,,,
1215 Harrison,,52,,,
1215 Harrison,12,22,,,
1215 Harrison,,52,,,
1215 Harrison,12,22,,,
1215 Harrison,,52,,,
308 Van Pelt,,50,,,
305 Du Bois,,52,,,
208 Du Bois,,52,,,
1515 Harnwell,15,12,,13,
1515 Harnwell,,52,,,
1515 Harnwell,15,12,,13,
1515 Harnwell,,52,,,
,,52,,,
,,52,,,
908 Harrison,9,20,,21,
908 Harrison,,52,,,
908 Harrison,9,20,,21,
908 Harrison,,52,,,
908 Harrison,9,20,,21,
908 Harrison,,52,,,
318 Van Pelt,,50,,,
208 Kappa Alpha Theta,,52,,,
1910 Harrison,19,25,,26,
1910 Harrison,,52,,,
1910 Harrison,19,25,,26,
1910 Harrison,,52,,,
412 Du Bois,,52,,,
225 English House,,52,,,
130 Kings Court,,52,,,
130 Kings Court,,52,,,
206A Stouffer,,52,,,
310 Kings Court,,52,,,
310 Kings Court,,52,,,
214 Harrison,2,49,,,
214 Harrison,,52,,,
123 Kings Court,,52,,,
1703 Harnwell,17,13,,14,
1703 Harnwell,,52,,,
1703 Harnwell,17,13,,14,
1703 Harnwell,,52,,,
207 Lauder College House,,48,,,
207 Lauder College House,,48,,,
405 Du Bois,,52,,,
243 Hill,,29,,,
266F Stouffer,,52,,,
,,52,,,
301 Lauder College House,,48,,,
248 Hill,,29,,,
2013 Harnwell,20,15,,,
2013 Harnwell,,52,,,
1302 Harrison,13,22,,23,
1302 Harrison,,52,,,
1302 Harrison,13,22,,23,
1302 Harrison,,52,,,
1302 Harrison,13,22,,23,
1302 Harrison,,52,,,
573 Hill,,29,,,
402 Lauder College House,,48,,,
527 Hill,,29,,,
210 Van Pelt,,50,,,
210 Van Pelt,,50,,,
707 Rodin,7,35,,36,
707 Rodin,,52,,,
707 Rodin,7,35,,36,
707 Rodin,,52,,,
707 Rodin,7,35,,36,
707 Rodin,,52,,,
907 Harnwell,9,9,,10,
907 Harnwell,,52,,,
907 Harnwell,9,9,,10,
907 Harnwell,,52,,,
608 Mayer Hall,,31,,,
415 Hill,,29,,,
509 English House,,52,,,
,,52,,,
521 Hill,,29,,,
1313 Harnwell,13,11,,12,
1313 Harnwell,,52,,,
1313 Harnwell,13,11,,12,
1313 Harnwell,,52,,,
1313 Harnwell,13,11,,12,
1313 Harnwell,,52,,,
216 English House,,52,,,
216 English House,,52,,,
216 English House,,52,,,
235 Hill,,29,,,
208 Van Pelt,,50,,,
2410 Harrison,24,28,,,
2410 Harrison,,52,,,
2410 Harrison,24,28,,,
2410 Harrison,,52,,,
2209 Rodin,22,43,,,
2209 Rodin,,52,,,
2209 Rodin,22,43,,,
2209 Rodin,,52,,,
2209 Rodin,22,43,,,
2209 Rodin,,52,,,
201 Harrison,2,49,,,
201 Harrison,,52,,,
201 Harrison,2,49,,,
201 Harrison,,52,,,
419 Du Bois,,52,,,
315 Hill,,29,,,
1708 Harrison,17,24,,25,
1708 Harrison,,52,,,
1708 Harrison,17,24,,25,
1708 Harrison,,52,,,
1708 Harrison,17,24,,25,
1708 Harrison,,52,,,
1311 Harnwell,13,11,,12,
1311 Harnwell,,52,,,
1311 Harnwell,13,11,,12,
1311 Harnwell,,52,,,
1311 Harnwell,13,11,,12,
1311 Harnwell,,52,,,
221 Kings Court,,52,,,
221 Kings Court,,52,,,
1613 Rodin,16,40,,,
1613 Rodin,,52,,,
1613 Rodin,16,40,,,
1613 Rodin,,52,,,
1613 Rodin,16,40,,,
1613 Rodin,,52,,,
422 Lauder College House,,48,,,
567 Hill,,29,,,
2003 Rodin,20,42,,,
2003 Rodin,,52,,,
310 Van Pelt,,50,,,
310 Van Pelt,,50,,,
21 Pi Kappa Alpha,,52,,,
,,52,,,
,,52,,,
,,52,,,
,,52,,,
,,52,,,
307 Harnwell,3,6,,7,
307 Harnwell,,52,,,
307 Harnwell,3,6,,7,
307 Harnwell,,52,,,
307 Harnwell,3,6,,7,
307 Harnwell,,52,,,
301 Kings Court,,52,,,
,,52,,,
,,52,,,
207 English House,,52,,,
207 English House,,52,,,
607 Rodin,6,35,,,
607 Rodin,,52,,,
416 Du Bois,,52,,,
7 Psi Upsilon,,52,,,
,,52,,,
213 Du Bois,,52,,,
403 Hill,,29,,,
2111 Harnwell,21,15,,16,
2111 Harnwell,,52,,,
2111 Harnwell,21,15,,16,
2111 Harnwell,,52,,,
401 Kings Court,,52,,,
309 Mayer Hall,,31,,,
,,52,,,
,,52,,,
37 Pi Kappa Alpha,,52,,,
1602 Harnwell,16,13,,,
1602 Harnwell,,52,,,
1602 Harnwell,16,13,,,
1602 Harnwell,,52,,,
1602 Harnwell,16,13,,,
1602 Harnwell,,52,,,
521 Lauder College House,,48,,,
Ashhurst,1,30,3,,
Ashhurst,2,30,3,0,1
Ashhurst,3,30,2,,
Ashhurst,4,30,2,,
Baird,1,3,2,2,1
Baird,2,2,1,3,1
Baird,3,3,3,2,1
Baird,4,2,1,3,1
Baldwin,1,1,1,2,1
Baldwin,2,3,5,2,3
Baldwin,3,2,1,3,1
Birthday,1,0,3,30,1
Birthday,3,0,1,,
Birthday,4,0,2,,
Bishop White,1,0,4,,
Bishop White,2,0,3,,
Bishop White,3,0,4,3,1
Bishop White,4,0,2,,
Bodine,1,1,3,0,2
Bodine,2,32,4,0,1
Bodine,4,32,4,1,2
Brooks,1,2,5,3,2
Brooks,2,2,1,,
Butcher,1,1,7,2,1
Butcher,2,1,10,2,3
Butcher,3,1,7,,
Butcher,4,1,4,,
Carruth,3,2,1,3,1
Carruth,4,3,2,2,1
Chesnut,1,1,2,,
Chesnut,3,1,1,,
Class of 28,2,2,1,,
Class of 28,3,2,5,1,1
Class of 28,4,2,11,1,3
Class of 28,5,2,7,,
Class of 87,2,3,2,2,1
Cleemann,2,30,2,0,1
Cleemann,3,30,2,0,1
Coxe,2,0,3,1,1
Coxe,3,0,4,32,3
Coxe,4,0,3,32,2
Coxe,5,0,4,2,2
Craig,2,3,1,,
Craig,4,3,2,2,1
E. F. Smith,1,0,1,32,1
E. F. Smith,2,0,2,32,2
E. F. Smith,4,32,3,1,1
Fitler,1,2,1,3,1
Fitler,3,3,1,,
Fitler,4,3,3,32,2
Foerderer,2,3,1,,
Foerderer,3,2,3,3,2
Franklin,1,2,4,3,3
Franklin,2,2,4,3,4
Graduate,2,0,4,1,1
Graduate,3,0,1,,
Graduate,4,30,1,,
Hopkinson,1,2,1,3,1
Hopkinson,3,3,1,,
Hopkinson,4,2,2,3,2
Leidy,1,2,4,3,3
Leidy,2,2,3,3,2
Leidy,3,2,1,3,1
Lippincott,2,2,2,3,2
Lippincott,3,3,1,,
Lippincott,4,3,3,2,2
Magee,1,30,4,,
Magee,2,30,1,,
Magee,3,30,1,,
Magee,4,30,2,,
Mask and Wig,2,2,1,3,1
McIlhenny,1,30,2,0,1
McIlhenny,2,30,1,,
McIlhenny,3,1,2,30,2
McIlhenny,4,30,1,,
McKean,1,3,2,1,1
McKean,2,3,4,2,2
McKean,3,3,4,2,2
Memorial Towers,2,2,2,32,2
Morgan,1,32,3,0,2
Morgan,2,32,3,0,2
Morris,1,1,1,2,1
Morris,2,1,3,32,3
Morris,3,2,5,32,4
Morris,4,32,4,1,2
New York Alumni,2,3,1,,
New York Alumni,3,2,2,1,1
Provost Smith,1,2,1,3,1
Provost Smith,2,2,1,,
Provost Smith,3,2,3,3,3
Provost Smith,4,3,2,2,1
Provosts Tower,3,0,1,1,1
Provosts Tower,4,0,1,30,1
Rodney,1,0,2,,
Rodney,3,0,1,,
Rodney,4,32,2,0,1
Rodney,5,0,2,,
Speakman,1,2,5,1,2
Speakman,2,1,13,2,9
Speakman,3,2,7,1,6
Speakman,4,2,2,1,1
Thomas Penn,2,30,2,0,1
Thomas Penn,3,30,3,0,1
Thomas Penn,4,0,1,30,1
Ward,2,30,1,,
Ward,3,1,2,0,1
Ward,4,30,3,0,1
Warwick,1,0,1,1,1
Warwick,2,1,3,30,1
Warwick,3,0,2,30,2
Warwick,4,30,2,0,1
Wilson,1,1,3,32,3
Wilson,3,32,1,,
